participant	session	TrialNumber	speed	barWidth	time	ran	order	wbad	wbas
Nobody	1	458	0.0	1	7	0.0	--	--	--
Nobody	1	459	0.0	1	8	0.0	--	--	--
Nobody	1	460	0.0	1	9	0.0	--	--	--
Nobody	1	461	0.0	1	10	0.0	--	--	--
Nobody	1	462	0.0	1	11	0.0	--	--	--
Nobody	1	463	0.0	1	12	0.0	--	--	--
Nobody	1	464	0.0	1	13	0.0	--	--	--
Nobody	1	465	0.0	1	14	0.0	--	--	--
Nobody	1	466	0.0	1	15	0.0	--	--	--
Nobody	1	467	0.0	1	16	0.0	--	--	--
Nobody	1	468	0.0	1	17	0.0	--	--	--
Nobody	1	469	0.0	1	18	0.0	--	--	--
Nobody	1	470	0.0	1	19	0.0	--	--	--
Nobody	1	471	0.0	1	20	0.0	--	--	--
Nobody	1	472	0.0	1	21	0.0	--	--	--
Nobody	1	473	0.0	1	22	0.0	--	--	--
Nobody	1	474	0.0	1	23	0.0	--	--	--
Nobody	1	475	0.0	1	24	0.0	--	--	--
Nobody	1	476	0.0	1	25	0.0	--	--	--
Nobody	1	477	0.0	1	26	0.0	--	--	--
Nobody	1	478	0.0	1	27	0.0	--	--	--
Nobody	1	479	0.0	1	28	0.0	--	--	--
Nobody	1	480	0.0	1	29	0.0	--	--	--
Nobody	1	481	0.0	1	30	0.0	--	--	--
Nobody	1	482	0.0	1	31	0.0	--	--	--
Nobody	1	483	0.0	1	32	0.0	--	--	--
Nobody	1	484	0.0	1	33	0.0	--	--	--
Nobody	1	485	0.0	1	34	0.0	--	--	--
Nobody	1	486	0.0	1	35	0.0	--	--	--
Nobody	1	487	0.0	1	36	0.0	--	--	--
Nobody	1	488	0.0	1	37	0.0	--	--	--
Nobody	1	489	0.0	1	38	0.0	--	--	--
Nobody	1	490	0.0	1	39	0.0	--	--	--
Nobody	1	491	0.0	1	40	0.0	--	--	--
Nobody	1	492	0.0	1	41	0.0	--	--	--
Nobody	1	493	0.0	1	42	0.0	--	--	--
Nobody	1	494	0.0	1	43	0.0	--	--	--
Nobody	1	495	0.0	1	44	0.0	--	--	--
Nobody	1	496	0.0	1	45	0.0	--	--	--
Nobody	1	497	0.0	1	46	0.0	--	--	--
Nobody	1	498	0.0	1	47	0.0	--	--	--
Nobody	1	499	0.0	1	48	0.0	--	--	--
Nobody	1	500	0.0	1	49	0.0	--	--	--
